,Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
0,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,성수,진짜 저 공약들 들고나오면 두말안하고 바로 그냥 새벽6시 되자마자 투표하러간다,1일 전,게임농부,16,0,6
1,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,Girl Fighter,여성가족부 여성단체 북한 . 여성가족부와 여성단체의 심각성은 이제 북한급입니다.,1일 전,게임농부,16,0,3
2,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,Magic Vilon,일본여자=의무를 안하지만 권리도 포기함미국여자=의무도 전부 수행하고 권리도 챙김한국여자=의무는 아예 안하면서 권리만 챙김나라꼬라지 ㅋㅋ 여성우대 대한민국 ㅋㅋ,1일 전,게임농부,16,0,4
3,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,mama papa,여가부가 폐지되려면본인들을 우파라고 하는 정치인들이 여성친화같은 페미니즘 정책이 사회주의사상 이라는걸 먼저 자각해야죠국힘당 주요 국회의원부터 청년정치인까지 페미니즘 지지하고 있으니,1일 전,게임농부,16,0,1
4,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,TV팽타,"여성 징병은 당연히 실행되어야 하는 것이고 추후 모병제로 변경될 경우에는 모병제 이전에 독박 징병되었던 모든 남성들에게 모병제 월급×개월수 해서 일괄 보상해야 한다. 그 세금은 현재 나이 만 35세 이상의 징병이 불가능한 여성들이 국가 안보에 무임승차한 기간만큼 국방세를 내어 충당해야 할 것이다. 국방세를 낼 때에는 남편, 가족 돈이 아닌 산업체에서 활동하여 스스로 벌어들인 돈으로 납부할 수 있도록 하는 시스템을 정부에서 구축하도록 추진해야 한다.",1일 전,게임농부,16,0,1
5,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,미국,2017년 홍준표 공약중 - 여성가족부 폐지하고 청년담당부처로 전환하고 규모 축소하기군가산점 도입2022 홍준표🇰🇷,10분 전,게임농부,16,0,0
0,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,성수,진짜 저 공약들 들고나오면 두말안하고 바로 그냥 새벽6시 되자마자 투표하러간다,1일 전,게임농부,16,0,6
1,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,Girl Fighter,여성가족부 여성단체 북한 . 여성가족부와 여성단체의 심각성은 이제 북한급입니다.,1일 전,게임농부,16,0,3
2,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,Magic Vilon,일본여자=의무를 안하지만 권리도 포기함미국여자=의무도 전부 수행하고 권리도 챙김한국여자=의무는 아예 안하면서 권리만 챙김나라꼬라지 ㅋㅋ 여성우대 대한민국 ㅋㅋ,1일 전,게임농부,16,0,4
3,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,mama papa,여가부가 폐지되려면본인들을 우파라고 하는 정치인들이 여성친화같은 페미니즘 정책이 사회주의사상 이라는걸 먼저 자각해야죠국힘당 주요 국회의원부터 청년정치인까지 페미니즘 지지하고 있으니,1일 전,게임농부,16,0,1
4,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,TV팽타,"여성 징병은 당연히 실행되어야 하는 것이고 추후 모병제로 변경될 경우에는 모병제 이전에 독박 징병되었던 모든 남성들에게 모병제 월급×개월수 해서 일괄 보상해야 한다. 그 세금은 현재 나이 만 35세 이상의 징병이 불가능한 여성들이 국가 안보에 무임승차한 기간만큼 국방세를 내어 충당해야 할 것이다. 국방세를 낼 때에는 남편, 가족 돈이 아닌 산업체에서 활동하여 스스로 벌어들인 돈으로 납부할 수 있도록 하는 시스템을 정부에서 구축하도록 추진해야 한다.",1일 전,게임농부,16,0,1
5,"2030표심, 2022대선전략 : 여성가족부 폐지, 여성징병제 = 양성징병제 시행",2021. 4. 21.,미국,2017년 홍준표 공약중 - 여성가족부 폐지하고 청년담당부처로 전환하고 규모 축소하기군가산점 도입2022 홍준표🇰🇷,10분 전,게임농부,16,0,0
