,Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
0,100만원으로 시작한 주식. 2030세대 주식으로 1억모으기,2021. 2. 12.,미국주식어린이 - 미주린,항상 잘 보고 있습니다!! 응원합니다!!,2개월 전,쥬식이 JUSIC,13,0,0
0,"""15억 금방이지~"" 이미 은퇴 준비하고 있다는 2030세대 파이어족",2021. 4. 2.,5PAGE 다섯장으로전하는다양한세상이야기,자신의 방식을 찾고 행복을 느끼고 살아간다면 그 방식은 존중해야겠죠. 다른 사람들에게 피해를 주는 것이 아니고 스스로의 행동에 책임을 질 수 있다면요!,1주 전,경인일보,17,1,4
1,"""15억 금방이지~"" 이미 은퇴 준비하고 있다는 2030세대 파이어족",2021. 4. 2.,HoHo Cookie,열심히 살아가려 노력하는 모습은 언제나 아름답습니다.,2주 전,경인일보,17,1,0
2,"""15억 금방이지~"" 이미 은퇴 준비하고 있다는 2030세대 파이어족",2021. 4. 2.,hee kang,80% 저축.. 대단하네요,2주 전,경인일보,17,1,1
3,"""15억 금방이지~"" 이미 은퇴 준비하고 있다는 2030세대 파이어족",2021. 4. 2.,Sangil Park,능력이 문제여~~ 부러워유,2주 전,경인일보,17,1,1
4,"""15억 금방이지~"" 이미 은퇴 준비하고 있다는 2030세대 파이어족",2021. 4. 2.,내마음속이야기,저는 좀 늦었지만 제가 이미 실행에 옮기려고 하는 것과 같네요 ^^,2주 전,경인일보,17,1,1
0,"1분기 코인 신규 투자자, 10명 중 6명이 '2030' / SBS",2021. 4. 21.,김태환,희망이 없으니 코인에서 희망을 찾는거지,1일 전,SBS 뉴스,6,4,2
1,"1분기 코인 신규 투자자, 10명 중 6명이 '2030' / SBS",2021. 4. 21.,탈슬라 쥬쥬,근데 비트코인 쉽게 접할 수 있는 세대가 2030세대여서 수치가 높은 부분도 있다고봄,1일 전,SBS 뉴스,6,4,1
2,"1분기 코인 신규 투자자, 10명 중 6명이 '2030' / SBS",2021. 4. 21.,17kHz,남는 돈이 아니라 빌린 돈일 가능성도 다른 연령대에 비해 더 높을텐데.,1일 전,SBS 뉴스,6,4,0
3,"1분기 코인 신규 투자자, 10명 중 6명이 '2030' / SBS",2021. 4. 21.,맛있는충주사과,나도 코인으로 부동산 사겠다!!!,23시간 전,SBS 뉴스,6,4,0
4,"1분기 코인 신규 투자자, 10명 중 6명이 '2030' / SBS",2021. 4. 21.,취준생,월급으론 턱도 없으니깐 코인하는거 아냐노력없이 돈 벌 생각만 한다는 틀분들 생각해보시길,1일 전,SBS 뉴스,6,4,1
5,"1분기 코인 신규 투자자, 10명 중 6명이 '2030' / SBS",2021. 4. 21.,상사화,근데 2030들  힘들다고 난리드니 돈은 어디서나서 아파트도 싹쓸이~ 코인도 싹쓸이 하냐?,1일 전,SBS 뉴스,6,4,0
6,"1분기 코인 신규 투자자, 10명 중 6명이 '2030' / SBS",2021. 4. 21.,김창수,희망이없는게 아니고 지금2030처럼답없이 나라탓만하는세대도 없었ㅇㅓ겁나편하게 사는애들이라 고생도 모르고 고생절대안하고 주장안하는세대,22시간 전,SBS 뉴스,6,4,0
0,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,E트렌드,금융 투자의 메카 메이크잇 텔레그램에 오신것을 환영합니다.아래 링크 클릭 https://t.me/makeit7ATS 기반 반자동 매매 솔루션 alap(올라프) http://alap.kr/,4개월 전,E트렌드,7.4천,208,12
1,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,Famgoals 뺌곰쓰,"이선엽총괄님, 나오시는 방송한번씩 보는데, 단박하고 예리하게 꼭꼭 집어주시는 통찰력에 감동입니다.",4개월 전,E트렌드,7.4천,208,5
2,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,투자오르기,센터장님 현문현답 정말 최고입니다 ^^,4개월 전,E트렌드,7.4천,208,5
3,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,Jane Kim,좋은 말씀 감사합니다!! 이선엽총괄님 팬입니다!!,4개월 전,E트렌드,7.4천,208,11
4,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,1일1독,총괄님 감사합니다  강센터장님도 수고하셨습니다,4개월 전,E트렌드,7.4천,208,5
5,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,짱보이,좋은말씀...감사합니다.총괄님 매주 나와주세요~,4개월 전,E트렌드,7.4천,208,5
6,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,김지원,좋은 말씀이십니다 감사합니다,4개월 전,E트렌드,7.4천,208,7
7,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,m jin,제목이 눈에 훅욱 감사합니다  저음방송듣는데요  귀에쏘옥 들어옵니다  백번 들으라는제목이 이해가됩니다,4개월 전(수정됨),E트렌드,7.4천,208,3
8,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,김대한,인사이트가 대단하십니다 총괄님,4개월 전,E트렌드,7.4천,208,8
