Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
#139​ 민주당 지도부가 2030 마음을 얻으려면...,실시간 스트리밍 시작일: 2021. 4. 8.,샤인디케이,"내리막이 있으면 다시 오르막이 있는 법, 예방주사라 생각하고 힘들 냅시다.",2주 전(수정됨),박시영TV,6.4천,83,48
#139​ 민주당 지도부가 2030 마음을 얻으려면...,실시간 스트리밍 시작일: 2021. 4. 8.,문동렬,2030마음을 얻으려면 조언을 2030을 모셔다가 들어보는 성의를 보여야 됩니다. 2030도 아닌사람들이 추측해서 2030의 마음을 이야기하는것 자체가 문제의식이 없는 것입니다. 아마추어라도 2030사람들을 몇번이라도 불러서 보여주며 실질적인 것을 들어보는 것이 좋다고 생각해요.,2주 전,박시영TV,6.4천,83,37
#139​ 민주당 지도부가 2030 마음을 얻으려면...,실시간 스트리밍 시작일: 2021. 4. 8.,135 swan,전 군대 전역 전까지는 보수를 지지했지만 대학에서 양극화에 관심을 가지면서 진보로 돌아섰죠! 20대의 경우 성격이 너무나 다르기에 초중반을나눠서 공략해야 한다고 생각해요! 가령 20대 초반이 등록금 같은게 문제라면 중반은 취업 후반은 자산 형성처럼(20~30대고민 혼재)세세하게 고민하는 흔적들을 보여주는게 중요하다고 생각합니다...정당 색채가 엷을 때는 사소한 이유로 지지정당이 변하는 경우가 많으니...,2주 전,박시영TV,6.4천,83,34
#139​ 민주당 지도부가 2030 마음을 얻으려면...,실시간 스트리밍 시작일: 2021. 4. 8.,미루,몸 안에서 무엇인가 무너져 내린 기분..그래도 힘내고 가야죠민주당은 뼈아픈 진단 새겨들어야 합니다황희두님 자주 함께해서 20-30대 남성들의 마음을 얻을 수 있는 방안도 모색해야 합니다.그리고 전국민 재난지원금 보편지급!!언론개혁!!,2주 전,박시영TV,6.4천,83,67
#139​ 민주당 지도부가 2030 마음을 얻으려면...,실시간 스트리밍 시작일: 2021. 4. 8.,단아란,네 죄송합니다. 삭제하겠습니다,2주 전(수정됨),박시영TV,6.4천,83,34
#139​ 민주당 지도부가 2030 마음을 얻으려면...,실시간 스트리밍 시작일: 2021. 4. 8.,권석민,진짜 민주당 제대로 각성해서 대권 화끈하게 가져오자!!!!!,2주 전,박시영TV,6.4천,83,45
#139​ 민주당 지도부가 2030 마음을 얻으려면...,실시간 스트리밍 시작일: 2021. 4. 8.,장브레송,당대표 후보들이 왜 그 모양이야? ㅠㅠ,2주 전,박시영TV,6.4천,83,11
#139​ 민주당 지도부가 2030 마음을 얻으려면...,실시간 스트리밍 시작일: 2021. 4. 8.,알파카,"말씀하신대로 열심히 2030 관련된 정책내고 입안하는거 중요하죠. 근데 그거 못지않게 중요한게 '홍보'입니다! 우리 이러이런거 만들었어 알아봐죠!가 아니라 커뮤니티 대응팀 만들어서 홍보좀 하라구요..2030들 커뮤니티 중독처럼 진짜 많이 합니다. 청와대나 당이나 홍보마케팅 전문가좀 잘 들여와서 커뮤니티 공략해야합니다. 그래야 지지자들이 또 퍼날르고 하죠. 포탈만큼 중요해요. 유튜브 sns도 물론 적극 활용하구요. 제발 법안, 정책 홍보좀 확실하게...진정성 있는것도 좋은데 쇼도 필요할때 해야죠. 커뮤니티에 관심 가지라고 꼭 당에 말씀 해주시고 박대표님 보실수있게 추천좀 부탁드려요ㅠ",2주 전(수정됨),박시영TV,6.4천,83,46
#139​ 민주당 지도부가 2030 마음을 얻으려면...,실시간 스트리밍 시작일: 2021. 4. 8.,준건이형,20대한테 참아라 노력하라 30대한테 견뎌라 그런말그만하고 소통하고 제발시원하게 개혁좀해라!,2주 전,박시영TV,6.4천,83,12
#139​ 민주당 지도부가 2030 마음을 얻으려면...,실시간 스트리밍 시작일: 2021. 4. 8.,Raina C.,"지난 1년동안 180석 가지고도 이리 X신 짓거리를 할 수도 있구나 하고 정말 뼈저리게 느꼈습니다.민주당은 180석의 자만에 빠져 국민들과 소통하는 눈과 귀를 다 닫은 거 같더군요.핑계거리는 그만 찾으시고 바뀌 십시오 지금 당장 당내 X맨과 수박들 싹 다 쳐내고 새롭게 시작하십시오. 초선 위원들 중심으로 그동안 지지부진 미뤄왔던 진정한 개혁 태풍을 한번 일으켜 보란 말입니다.",2주 전(수정됨),박시영TV,6.4천,83,16
