Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,Oh보스,착한 안진걸용감한 안진걸정직한 안진걸순수한 안진걸의리의 안진걸항상 응원합니다.,2주 전,박시영TV,8.2천,118,64
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,장브레송,오세훈이 국무회의 참석하는 상상하면피가 거꾸로 솓음,2주 전,박시영TV,8.2천,118,16
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,ᄋ힘내자,2030이  어쩌면  중도충이  제일  많은데   뉴스자체를  포털로   봅니다중도층 2030표심  잡기위해서라도   포탈  언론개혁이  제일  시급하다고  생각합니다,2주 전,박시영TV,8.2천,118,81
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,야인,민생경제 안소장님 같은분들이 국회에서 일을하면 참 잘하실것 같아요 ~,2주 전,박시영TV,8.2천,118,39
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,먹튀,수박오인방을  반성할때까지  진보유투버들께서는  지속적으로 거론하시기 바랍니다,2주 전,박시영TV,8.2천,118,40
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,박미자,조국 전 장관의 희생으로 검찰 개혁이 이루어지고 그 분의 희생으로 총선에서 180석 얻었다는 것을 무시할  수는 없다고 생각합니다.,2주 전,박시영TV,8.2천,118,40
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,Yenny S,초선이니 한번 봐주자가 통할 사안도 아니지만 이소영 의원이 ytn과 jtbc에 나가서까지 그런 인터뷰를 했다던데 후폭풍 어떡합니까???,2주 전,박시영TV,8.2천,118,24
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,달달한my life,의원들 번호라도 알려주세요 승질나는데 문자라도 남길랍니다 내참 어이가 없어서,2주 전,박시영TV,8.2천,118,67
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,blue,초선 2030 때문에 화가 납니다. 서초동 검찰개혁 촛불을 완전 무시하는 언사입니다. 화납니다 진짜,2주 전(수정됨),박시영TV,8.2천,118,57
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,Inho Lee,이럴수록 더힘내서 싸워야  합니다 항상 이길수는 없는 겁니다  지면 다음에 이기면 됩니다,2주 전,박시영TV,8.2천,118,26
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,이원자,오세훈   진짜 못된놈 입니다 서민은 사람으로  보지도 않습니다   측량도와주신분도  장모님이  어쩌고저쩌고  불쌍해서  해주었다는 것처럼  말할때  정말   오세훈은 않되겠다 생각했습니다,2주 전,박시영TV,8.2천,118,25
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,박미자,오세훈은 거짓말도 천벌받을 일인데 셀프 보상은 절대로 용서하면 안됩니다.,2주 전,박시영TV,8.2천,118,77
"#140​ 선거기간 언론행태, 정말 빡친다! 초선 2030 왜 이러나!",실시간 스트리밍 시작일: 2021. 4. 9.,이원자,안진걸 소장님  고맙습니다   오세훈   박형준   수사 해야되는거  맞지요,2주 전,박시영TV,8.2천,118,31
