Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,오세훈TV,0:08 연설하시는 분의 성함은 '유재승'이 아닌 '노재승'입니다.,4주 전,오세훈TV,8.2천,169,654
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,Bul Chot,"청계천 산책하고, 버스 환승 한번이라도 해 본 사람은 MB 까지 마라...",3주 전,오세훈TV,8.2천,169,533
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,Hello Kim,"""서울시장은 친근한 동네 아저씨를 뽑는 자리가 아니다. 서울시를 발전시킬 거래처를 상대하는 마음으로 선거를 한다.""",4주 전,오세훈TV,8.2천,169,618
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,으아아아아악,돈 주고 불러도 저런 사람 구하기 힘들겠다...이준석이 진짜 대단하네.,4주 전,오세훈TV,8.2천,169,485
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,David Kang,저도 30대입니다. 제가 평소 하고 싶은말 다 해줘서 시원하더라구요. 주위에 친구들도 하는말이 이 내용입니다.박대통령 탄핵시기 20대 지지율이 1퍼센트 였던거 아실겁니다. 20 30대는 진보 보수가 문제가 아니라 상식적이고 청년의 미래를 만들어가주는 정치인을 뽑는거죠. 응원합니다 오시장님!,4주 전,오세훈TV,8.2천,169,466
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,윤종설,오세훈!  복받았내요.이정권에 얼마나 한이 맺혔으면 청년 시민이 자발적으로 단상에 올라 정권심판의 목소리를 시민을 향해 외치겠습니까?.오래토록 박수를 보냅니다.,4주 전(수정됨),오세훈TV,8.2천,169,655
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,최승주,너무똑똑하고 비른생각을 가지고있는청년이군요...화이팅입니다...우파시장의 역활을 정확하게 기억하고있네요ᆢ멋집니다...오세훈후보화이팅!!!!!꼭 승리해서  서울시청으로 입성하십시요ᆢ👏👏👏👏응원합니다....,4주 전,오세훈TV,8.2천,169,481
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,구호,와 말을 어쩜 저렇게 잘하지?  외워서 하라고해도 저렇게 못하는건데..대단하네요.,4주 전,오세훈TV,8.2천,169,315
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,스페인다녀온여자,대한민국이  아직살아있습니다  ...이런 청년분들이  있다는거는  희망입니다~,4주 전,오세훈TV,8.2천,169,247
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,검색의시대,저 친구 뭔가 통하는데..ㅋ 내 속마음을 그대로 읽어낸 느낌. 어쩌면 현재 또래의 대다수가 저 친구와 같은 마음일 수도~,4주 전,오세훈TV,8.2천,169,302
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,대한남아,이방송 완전 대박입니다,4주 전,오세훈TV,8.2천,169,441
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,IlIlIl IlIl,솔직히 서울시 사는 사람들이 10만원 없어서 생활 못하냐ㅋㅋㅋㅋ? 서울시민 10만원씩 다 나눠주면 얼마나 큰 돈인데 그 돈을 쓸데없이 뿌리고 있어ㅋㅋㅋㅋㅋㅋㅋㅋ,4주 전,오세훈TV,8.2천,169,402
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,나봉이,국민을 대표해서 정말 명쾌하게 말씀 잘하십니다보고또봐도 속이 시원합니다~~이 분을 국회로!!!! 화이팅입니다!!!저도 30대 같은 마음으로 응원합니다,4주 전,오세훈TV,8.2천,169,324
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,MJ G,"서울시민도 아니고 오세훈 후보를 지지하지는 않지만 이번 선거전략 진짜 괜찮네요. 평소에 좀 이렇게 잘하지 ㅋㅋㅋㅋㅋㅋ 우리의 권력을 나눠주는 사람이 아니라 일을 해줄 사람을, 거래처를 상대한다는 마음으로 뽑는다는 멘트는 정말 듣기 좋네요.",3주 전(수정됨),오세훈TV,8.2천,169,163
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,missapel,와 부산 살지만 연설에 소름 돋았다 국민의힘 정치인분들 이런 진실성있는 연설을 꼭 배우고 들어주세요 치우치지않는 팩트 연설 멋있습니다!,4주 전,오세훈TV,8.2천,169,331
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,동구밖,참 똑똑하다.참신하다.,4주 전,오세훈TV,8.2천,169,165
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,구구다육,보고 또봐도 힘나는 영상입니다이분을 국회로 보내고 싶네요♡반드시 승리하여 자유대한민국의 미래를 펼칩시다오세훈 화이팅입니다힘내세요👏👏👏👍,4주 전,오세훈TV,8.2천,169,329
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,Kim Sue,우리나라에 이런 청년이 있어서 다행 입니다 서울시장은 반드시 오세훈 이되어야 합니다,3주 전,오세훈TV,8.2천,169,168
[2030 시민참여유세#1] 유세 현장에 일반인이?! 비니좌의 역대급 연설,2021. 3. 28.,이정현,"경험치낮은 20대 중 한명입니다 오세훈 후보가 현역이였을 당시 저는 초등학생~중학생 시절이였는데 당시 ddp,디자인서울,고척돔 지금도 생생합니다 서울한복판에서 벼농사나 짓고 쓰레기신발로 괴상한거나 만들어서 냄새만 풍긴 누구랑은 다르게",3주 전(수정됨),오세훈TV,8.2천,169,249
