Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,도레미도미,진짜 선거천재 이준석 .. 하버드라 아이디어가 남달라 .. 당선되신다면 이거 꼭 칭찬해주시면 좋겠습니다 당내에서도 !!,2주 전,오세훈TV,1.2천,29,97
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,김정국,똑똑한 청년들은 다 여기있네~!!,3주 전,오세훈TV,1.2천,29,83
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,MIN MIN,아들딸들  장하십니다~세계를 향해 쭉쭉 뻗어가세요~~대한민국 미래세대가 깨어있어 가슴벅차네요👏 👏 👏 👏 👏,3주 전,오세훈TV,1.2천,29,94
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,coriander,오늘도 울었습니다.내 아들의 청년들의 분노에 부끄럽습니다.청년의 이 나라의 미래를 위하여!!,3주 전,오세훈TV,1.2천,29,61
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,최불자,애기들이 언제 이렇게 주관이 또렸한 청년으로 성장했는지 우리 손자도 밖에 나가면 휼륭한 청년이겠죠.뿌듯합니다 그리고 고맙습니다.,3주 전,오세훈TV,1.2천,29,77
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,김지운,대한민국의 미래가 밝습니다.,3주 전,오세훈TV,1.2천,29,57
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,namu5,젊은 청년들 진짜 멋집니다!사상이 바른 걸 보니 눈물이 나네요,3주 전,오세훈TV,1.2천,29,34
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,ej j,✌✌✌✌✌진짜 머 찌 다BGM까지 2002년 월드컵때 그 젊은 열기가 가슴뛰게 한다🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷,3주 전,오세훈TV,1.2천,29,45
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,구엽초삼지,청년분들이 미래고 국보입니다 응원합니다 홧팅👍👍👍,3주 전,오세훈TV,1.2천,29,52
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,홍땅크,캬... 진짜 2030이 뒤집고 일어서니깐 빛이 보인다...,2주 전,오세훈TV,1.2천,29,13
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,윤왕,"미국에서 살다가 온 한국인 청년입니다, 한국의 사회를 보며 삶이 우울하고 무기력 해졌습니다. 오세훈님이 우리나라의 사회에 큰 영향을 줄 수 있는 사람이라규 믿습니다. 오세훈님 화이팅 꼭 당선되시길 바랍니다.",2주 전,오세훈TV,1.2천,29,40
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,ja moon,이준석! 기획 멋찌다.2030 청년들 용기에 큰 박수를 보냅니다👏D-2 오세훈 후보님의 승리의 깃발을 꽂아보아요~✌✌✌,3주 전,오세훈TV,1.2천,29,33
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,DRX한동훈,니네들이 나라 살렷다,2주 전,오세훈TV,1.2천,29,19
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,이현우,민심이 곧 천심 이라고 하지요.저 청년들의 외침이 대한민국의미래가 아닐런지요.이번 선거에 투표로 민심의 향방을 가려 주심이 ᆢ,3주 전,오세훈TV,1.2천,29,44
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,신명희,청년 들이  언제 이렇계  성장    되다니  흐뭇 하고    감격에 눈물이 남니다  오세 훈  의원이  꼭   되시길 기도들 합시다 화이팅,2주 전,오세훈TV,1.2천,29,36
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,쁘라나,이준석대표님😁😁😁청년들의 장을 마련해 주셔서 감사합니다우리 아이들ᆢ어린 마음에ᆢ 얼마나 맺힌것이 많았겠습니까?이렇게 한풀이할수 있게 해주심에 감사합니다사연도 가지각색 구구절절느낀점도 많고배울점도 많았습니다앞으로 이런 장면많이 만들어 주심이이나라 발전에 매우 필요한 일이라 생각합니다,2주 전,오세훈TV,1.2천,29,30
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,#윤석열#법통령,"국민의 힘 의원들, 당직자, 지지자들은 청년들의 목소리를 듣고 반성하고 또 혁신해야 합니다 💪 투표해야 바꿉니다 💏 반드시 투표 🗳 합시다 2번에는 2번 오세훈 박형준 찍고 승리✌ 합시다",3주 전(수정됨),오세훈TV,1.2천,29,44
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,Benjamin K,오세훈 !청년들에게 잘 해줘야 되겠다,2주 전,오세훈TV,1.2천,29,18
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,한재호,준석이가 참 잘하네^^준석이 화이팅이다 자랑스럽다!!!!!!!!!!!!!!!!!!,2주 전,오세훈TV,1.2천,29,15
[2030 시민참여유세#7] 청년들의 분노 섞인 외침에 귀 기울여 주십시오!,2021. 4. 5.,h k,애국정신이 투철한 젊은청년 여러분들 심장이 뛰는 겁니다청년여러분들 화이팅,2주 전,오세훈TV,1.2천,29,20
