Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,임후,2030이 원해서 보수로 간게 아니라 니들이 보수로 밀어낸거잖아,1주 전,YTN news,5.1천,621,9.5천
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,Mo,20대30대 평소에 무시하더니 투표할때만 찾음ㅋㅋㅋ,1주 전,YTN news,5.1천,621,1.8천
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,니은니은,"기회는 불평등, 과정은 불공정, 결과는 패망ㅋㅋㅋㅋ",1주 전,YTN news,5.1천,621,470
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,Calvin Sc,자기 입으로 자기가 착하다는 인간 치고 정말 착한 인간 없듯이.. 자기 입으로 자기가 정의롭다는 인간 치고 정의로운 인간 없다는 걸 이제서야 깨달은거지.,1주 전,YTN news,5.1천,621,217
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,김로저,ㅋㅋㅋㅋ 진짜 숨만쉬어도 성군소리 들었을 차례에 이렇게 하다니 ㅋㅋㅋㅋㅋㅋㅋ,1주 전,YTN news,5.1천,621,73
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,현성,뺨싸다구 때려놓고 왜 삐졌냐하면 할말이없다,1주 전,YTN news,5.1천,621,6.2천
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,막그리거,"솔직히 말하면 20,30 아니30대부터 60대까지도뭐가 보수이고 진보인지 모르는 사람 천지임.단 한가지 확실한건,적어도 쇼 하는 정치인에 환멸을느끼고 등진거지보수가 좋아서 뽑은게 아님.",1주 전,YTN news,5.1천,621,92
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,wert,"???: ""이 세상에서 한국인을 한 마리라도 없애버리는 거...... 그게 전 인류의 소원이라고""",1주 전,YTN news,5.1천,621,85
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,ᄋod0_0bo,네이버는 댓글조작 되는데유튜브 민심은 조작 못하지 ㅋㅋㅋ,1주 전,YTN news,5.1천,621,30
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,진,아예 보수로 간게 아니라 제일 ㅂㅅ이 아닌 쪽으로 왔다갔다 할거같음,1주 전,YTN news,5.1천,621,63
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,맨유,보수가 아니고 합리적이고 이성적인 생각으로 돌아선겁니다 왜 보수 진보로 나누려고 합니까?,1주 전,YTN news,5.1천,621,1.9천
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,부엉이,누가 더 잘 할까가 아닌 누가 더 나을까가 되버린 이상한 나라,5일 전,YTN news,5.1천,621,7
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,??,0:20 기ㅋ회는ㅋㅋㅋ평등하고ㅋㅋㅋㅋ과정은ㅋㅋㅋ공평ㅋㅋㅋㄲㅋㅋㅋ결과ㅋㅋ는ㅋ정의롭댄다ㅋㅋㅋㅋㅋㅋ,3일 전,YTN news,5.1천,621,4
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,구구구,취임사때 한 저 말이 정확히 시진핑이 한말 그대로 따온거 ㅋㅋㅋㅋ,1주 전,YTN news,5.1천,621,35
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,won jin,이래놓고 다음에 또 민주당 뽑으면 진짜 사람아니다,1주 전,YTN news,5.1천,621,221
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,슬로,지들이 20대 남자 표 버려놓고 우리보고 보수로 갔댄다 ㅋㅋ,2주 전,YTN news,5.1천,621,1.8천
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,Jason P,2030대 투표율이 높아야 청년들을 위한 정책을 만듭니다. 내년에도 꼭 투표 하세요.,1주 전,YTN news,5.1천,621,18
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,dongyeon,가고싶어서 간 것이 아니라 가야해서 간것이다.,1주 전,YTN news,5.1천,621,38
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,밤달,2030은 상식에 서있는겁니다.,1주 전,YTN news,5.1천,621,29
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,심영,0:40 이때만 해도 이니가 잘할 줄 알았지....,1주 전,YTN news,5.1천,621,64
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,이구상,보수로 온게 아니라 진보를 떠난거임 ㅋㅋㅋㅋ,1주 전,YTN news,5.1천,621,1천
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,남녀칠세마동석,피해호소인은 시벌 지금 들어도 존나 어이털리네 ㅋㅋㅋㅋㅋㅋㅋㅋ,1주 전,YTN news,5.1천,621,9
2030은 왜 보수로 갔나 / YTN,2021. 4. 9.,국민거품최지만,왜 부모님들이 아 이번에도 인물이 없내 이러면서 무조건 빨간당으로 가는지 이제 뼈저리게 느낀다 다 이유가 있는거 였어...ㅋㅋㅋㅋㅋ,1주 전,YTN news,5.1천,621,55
