Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,종이의 TV,14:37 대깨수준28:43 원정대 노래자랑,3개월 전,종이의 TV,2.7천,29,22
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,ever lee,당신이 애국자입니다.,3개월 전,종이의 TV,2.7천,29,31
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,우리,알면서도 행동이 미약한 우리 모두의 문제입니다  응원합니다 !!!!!!!!!,3개월 전,종이의 TV,2.7천,29,19
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,JOY KIM,종이님 화이팅~~~!!!! 아름다운 청년~~~!!!!이런 아름다운 청년들이 많이 많이 늘어나길~~!!대법원은 속히 재검표 실시하라~~~!!!!,3개월 전(수정됨),종이의 TV,2.7천,29,25
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,ever lee,애국청년들 화이팅입니다.,3개월 전,종이의 TV,2.7천,29,21
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,막둥이막둥이,존경합니다 님들같은 젊은이들이 제발  하루빨리 깨어나길~~,3개월 전,종이의 TV,2.7천,29,27
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,이오뚜기,종이님.원정대.수고하십니다~끝까지.응원합니다~항상몸조심하시고.~,3개월 전,종이의 TV,2.7천,29,29
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,ever lee,애국방송,3개월 전,종이의 TV,2.7천,29,18
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,석용희,고맙습니다 자유대한민국을위해 고맙습니다부정부폐선거 이놈들사형  꼭시키자,3개월 전,종이의 TV,2.7천,29,21
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,ever lee,애국방송 감사합니다.화이팅입니다. 부정선거 진실규명 다시 시작합니다.,3개월 전,종이의 TV,2.7천,29,23
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,쇠대가리,415부정선거에서 180석을 때려맞힌 시민인데 대단하지 않습니까,3개월 전,종이의 TV,2.7천,29,20
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,개돼지들북송,대단하네요..^^미국도 대통령 바뀌고..한국도 🐕🐖두목 바뀌고...,3개월 전,종이의 TV,2.7천,29,21
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,SUHHYUN PARK,시원시원 총명총명 종이님.,3개월 전(수정됨),종이의 TV,2.7천,29,12
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,ever lee,애국방송 감사합니다.,3개월 전,종이의 TV,2.7천,29,14
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,H A,"최고!, 최고! ,최고!종이님과  청년들!!!모두 어여 깨어나라!!!!",3개월 전,종이의 TV,2.7천,29,7
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,방삿갓,불철주야 수고많아요너무 고맙습니다,3개월 전,종이의 TV,2.7천,29,7
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,이춘영,정말 나라가 걱정 됩니다.,3개월 전,종이의 TV,2.7천,29,13
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,코로나미스터리무증상경증94.5%,감사합니다 ❤️❤️❤️ 여러분 진짜 찐애국 🥺👍🏻👍🏻👍🏻👍🏻,3개월 전,종이의 TV,2.7천,29,6
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,이기자,젊은사람이 이렇게 애국운동에 앞서주시니 너무 감사하고 또 뿌듯하네요^^ 수고하세요~~,3개월 전,종이의 TV,2.7천,29,4
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,장꼬봉,젊은 분들이 고생한다고 생각하니깐눈물이 납니다,3개월 전,종이의 TV,2.7천,29,13
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,코로나미스터리무증상경증94.5%,부정선거 꼭 밝혀진다싸우자 딥스테이트야 😡😡😡😡😡,3개월 전,종이의 TV,2.7천,29,11
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,자연스레,청년애국자 종이님 응원합니다! 화이팅!,3개월 전,종이의 TV,2.7천,29,8
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,만천명월주인옹,무관심한 사람들에게 부정에 대한 실체를 알리고 대항하는 당신이 참 자랑스럽고 고맙습니다...,3개월 전,종이의 TV,2.7천,29,4
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,자유호랑이,종이 원정대 화이팅입니다 항상 응원합니다 감사합니다,3개월 전,종이의 TV,2.7천,29,6
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,유종호,고생이 많아요  감사하구요  전 청주 살아요  그리고  간난해서   일을 안하면  굴어 죽져 머 뜻만  함께 하게씀니다,3개월 전,종이의 TV,2.7천,29,4
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,JY Rebecca Lee,"애국자 종이원정대.당신들이 진정한 리더입니다.현 세대와 다음 세대를 위해서라도, 악의 무리는 평생 감시해야 합니다!우리가 ",3개월 전,종이의 TV,2.7천,29,4
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,여여,종이 원정대 . . 수고 많으십니다~고맙습니다~화이팅~~~,3개월 전,종이의 TV,2.7천,29,3
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,마왕괴물,고생 많으십니다..종이님! 언론에서 한번쯤 다뤄줄만한데!,3개월 전,종이의 TV,2.7천,29,13
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,왕장군,진실을 밝히고자하는분들 너무 멋집니다...,3개월 전,종이의 TV,2.7천,29,3
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,ever lee,415는 밝혀진다,3개월 전,종이의 TV,2.7천,29,17
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,Kim팡팡,종이님 마무리 멘트 메세지에..더 더욱 확신과 희망을 키웁니다. ♡종이원정대♡,3개월 전,종이의 TV,2.7천,29,10
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,포도나무,미국은 현제시각에도 반란법 작동중입니다~! 미사령부는 낸시팰로시에게 말했습니다~! 당신은 반란죄야~! 바이든 행정부는 미군 특수부 군사작전을 접금금지 중입니다~! 모두들 힘을 내세요~! 하나님께 기도합시다 ~! 트럼프다 끝까지 수행할수있도록~! 포기하지 않도록 힘을달라고~!,3개월 전(수정됨),종이의 TV,2.7천,29,14
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,룬지당,우리 종이팀   너무너무  고생으세요,3개월 전,종이의 TV,2.7천,29,12
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,"J, ANN",젊은이 같은분이 있어 희망이 보입니다응원합니다  감사드립니다  고맙습니다,3개월 전,종이의 TV,2.7천,29,2
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,웃는얼굴,국민들이 일어나야합니다종이님 처럼 많이나와줘야  하는데감사합니다,3개월 전,종이의 TV,2.7천,29,2
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,무궁화,젊은이들이 수고가 많으십니다 감사합니다,3개월 전,종이의 TV,2.7천,29,2
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,김순기,진정한  애국자 분들이십니다   끝까지 함께 싸웁시다     존경합니다 감사합니다,3개월 전,종이의 TV,2.7천,29,2
[LIVE] 강남역에서 2030에게 부정선거 알린다!! 유시민은 거짓말쟁이,실시간 스트리밍 시작일: 2021. 1. 22.,초록잔치,모두 너무나 훌륭하십니다~,3개월 전,종이의 TV,2.7천,29,2
