Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,리부루수,1:22 사참솔님 지난주 연설에 대한 해명 ㅎㅎ1:58 코너속의 코너 미나TV (까메오 사참솔님)2:49 귓 속 열어라잉 사참솔님 들어갈랑께(Feat.TMI)3:55 홍대에 모인 종벤져스 (Feat. 지금 이 순간 맥가이 B 가 아닌 이기따를 시전중인 맥가이 V 님)6:38 종벤져스와 슬리핑M9:06 캡틴 종이님 연설 타임18:26 귓 속 열어라잉 사참솔님 들어갈랑께 2(사참솔님 박찬호설)25:18 캡틴 종이님 2차 연설 타임28:25 맥가이 B(V)님 연설 타임31:48 캡틴 종이님 3차 연설 타임35:30 귓 속 열어라잉 사참솔님 들어갈랑께 338:49 캡틴 종이님  4차 연설43:26 퀴즈타임45:44 원색 좋아하시는 아줌마47:03 외쿡 친쿠들과의 연합(Feat. What the F- - -)48:18 혼나고 있는 오늘의 빌런(잘못했어요 보내주세요)48:43 캡틴 종이님 5차 연설51:42 사참솔님 귀벌려 선거 들어간다~!!56:44 캡틴 종이님 마지막 연설1:01:18 사참솔님 해명하세요~!!ㅎㅎ1:03:29 일반인과의 인터뷰1:05:40 다시 돌아온 미나 TV,2개월 전,종이의 TV,1.8천,9,21
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,산토리니,오늘도 고생 많이 하셨어요. 시끄럽다고 씨부리고 똑같은 레퍼토리 그만 좀 하라고 썼다 찌질하게 삭제하는 인간 있는데 똑같은 레퍼토리는 누가하며 제발 좀 그만 좀 하게 그렇게 만들었음 좋겠네요ㅋㅋㅋ 이게 바로 내로남불 대.깨,2개월 전(수정됨),종이의 TV,1.8천,9,16
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,Joker,대깨들이 망친 대한민국을 지키는 우리 동지들 매일 감사합니다,2개월 전,종이의 TV,1.8천,9,23
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,홍순복,종이님  종이 원정대  .청년들  그추운날씨와 조롱  탄압에도  굴하지않고  열심히 부정선거.'애국해주셔서  너무너무  감사하고 눈물납니다  짱짱짱입니다,2개월 전,종이의 TV,1.8천,9,11
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,法田선생,홍대ᆢ 청년들ᆢ핫팅ᆢ,2개월 전,종이의 TV,1.8천,9,8
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,꼬시래기,종이를 비롯한 젊은이들 이있어 희망을봅니다~~세상을 향기롭게 투쟁하는 청년들존경합니다,2개월 전,종이의 TV,1.8천,9,10
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,정큐티,종이가 진정한 리더다 자기사람들을 보호할줄 아는 리더. 대한민국은 진정한 리더를 원한다,2개월 전,종이의 TV,1.8천,9,6
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,한날우,전문해커들이 바이러스를 심어서 개표조차 못하게 막지않는 한 부정개표를 막을길이 없다고 봅니다.,2개월 전,종이의 TV,1.8천,9,9
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,자유호랑이,종이 원정대 화이팅입니다 항상 응원합니다 ~~~^^,2개월 전,종이의 TV,1.8천,9,4
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,서리아타,잘한다  종이!든든하다 종이!종이 홧팅 !!!!!,2개월 전,종이의 TV,1.8천,9,9
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,프랙탈,그 젊은 패기와 끈기에 경의를 표합니다!,2개월 전,종이의 TV,1.8천,9,6
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,Rinda H,너무 고생이 많아요. 날도 추울텐데 ....,2개월 전,종이의 TV,1.8천,9,17
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,a a,1:56 미나상 박신혜 ㅈㄴ닮음ㅋㅋ,2개월 전,종이의 TV,1.8천,9,8
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,H A,청년들이 얼른 깨어나야  할텐데.. 종이의 티비 화이팅!!!!,2개월 전(수정됨),종이의 TV,1.8천,9,2
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,율아할배,415총선 치른 컴퓨터를 관악 선관위에서 과천 선관위로 경찰 특공대를 동원하여 옮기는 애국민들만 모여 막아집니까.  많은 국민들이 관악 선관위를 꽉 둘러쌌으면 절대 못 옮깁니다.헌데 엄청 추운날씨에 애국 국민 300명이 됩니까   만병만 모이면 꽉 차서 경찰이 절대 할 수 없습니다.   이게 대한민국의 민도가 어렇습니다.  망쪼가 들은 나라가 되었습니다,2개월 전,종이의 TV,1.8천,9,10
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,은수,종이님때문에 희망이보입니다!!힘내세요,2개월 전,종이의 TV,1.8천,9,7
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,더럭맘,최고  예요~~^,2개월 전,종이의 TV,1.8천,9,6
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,윤승,우리의 최고훌륭한 애국청년 볼때마다 존경스러워요,2개월 전,종이의 TV,1.8천,9,7
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,박ᅳ홍승리,멋지다! 종이TV,2개월 전,종이의 TV,1.8천,9,3
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,김복희,오랫만이네요,2개월 전,종이의 TV,1.8천,9,4
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,자유민주,왠일로 사람이.원랜 더.개강할때?는 아니겠죠.폰데믹ㅠ작품하러 올수있지도 않을거구.외부인.들,2개월 전(수정됨),종이의 TV,1.8천,9,6
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,나광화,국민 여러분! 십시일반 종이원정대를 도우시면 어떨까합니다. 감사합니다.,2개월 전,종이의 TV,1.8천,9,1
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,나광화,많은 어려움 속에서 용기를 잃지 않고 즐겁게 이야기 하며 415 부정선거를 밝히기 위해 이곳저곳에서 갤러리를 펼치는 종이 원정대를 위해 기도합니다.반드시 하나님께서 보상해 주실 것입니다. 감사합니다. 종이 원정대!,2개월 전,종이의 TV,1.8천,9,2
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,法田선생,부정선거ᆢ청년이ᆢ나서라,2개월 전,종이의 TV,1.8천,9,9
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,s y,"코로나는 사기극,감기증상에 불과한 코로나를 걸리면 죽는것처럼 언론과 짜고 사기극을 하고있음,코로나가 아니였으면 문재인정부는 벌써 무너졌을것임",2개월 전,종이의 TV,1.8천,9,12
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,法田선생,축구도ᆢ 반칙하면ᆢ즉석에서ᆢ패널티주는데ᆢ부정선거ᆢㅣㅇ개월 지나도록ᆢ국민을 바보ᆢ등신ㆍ숭맥으로아는ᆢ문디ᆢ죽여야한다,2개월 전,종이의 TV,1.8천,9,9
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,1234 ca,"차리리 문죄인에게 투표한그손을~ 잘라라......우리 아빠가 말씀하셨다!죄인이는~~동네 동장깜도 안된다고......그전에도 한번 똑같은말씀!하셨다!   ""노씨"" 한테이장~깜냥도 안된다고......아빠는 역시~ 선견지명이 있으셨다!!!!!  그리고 두번다~집에있는 모든~TV를 포장지로다 싸놓으셨다!  TV 에 나오는,깜냥도 안되는  그~두놈들 꼴보기 싫어서..(덕분에엄마는 드라마 하~나도못보셨다!)  실제임~~!!그래도~ 변한건 하나도없다 ㅜ오히려더~~ 악화되고있다ㅜㅜ화형~시켜야합니다!씨도~ 남지않도록......소대가리와 부엌떼기를Joe Biden, He helped voter fraud, he's a slave to China, and ruined America. He's a coward.          Just like ~~Korean president ""Moon"" !!!Korean president ""Moon"" !!!",2개월 전,종이의 TV,1.8천,9,10
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,손동철,종이님 지지합니다.부정선거 밝히는 당신은 진정한 보수입니다.화이팅!,2개월 전,종이의 TV,1.8천,9,12
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,sy kim,"문재앙바이러스 .. 입에 착착 붙네요., ㅋ",2개월 전,종이의 TV,1.8천,9,10
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,Zone H,대깨좌표좀요.등싄들,2개월 전,종이의 TV,1.8천,9,11
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,율아할배,415총선은 증거들이 넘처나는 부정선거인데 젊은이들이 관심없다는걸 보면 한탄스러운 현실이다.  박정희가 잘 살게 해 놓았는데 부모들이 자식들을 오냐오냐 식으로 키워서 젊은이들이 부정선거 전단지를 전해도 손절하는 사람들이 대부분입니다.  차라리 대한민국 폭망하던지 백드산이 폭발하라고 기원하기도 합니다.  나라가 망할 일만 남았다고생각이 듭니다.  민주주의 의 꼿이 선거인데 여적죄인 부정선거를 하여 민주당은 180석 독재로 가짜의원들이 독재 법들을 만들어 중산층을 거지로 만들고 있는데  부정선거 시위자들을미친놈이라고 하는 사람들도 있으니 이게 망쪼들린 나라가 아닙니까,2개월 전,종이의 TV,1.8천,9,15
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,rem raf,415 부정선거에 침묵하고 무관심한 개돼지 노예들에 게 국민으로서의 직무유기죄를 물어야 한다.,2개월 전,종이의 TV,1.8천,9,2
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,나나,45:44  하.. 라도들 제발 깨어나라....ㅜ,1개월 전,종이의 TV,1.8천,9,0
[LIVE] 홍대 2030 대폭발! 종이원정대 계몽운동(탈원전 부정선거) 설날 전-!,실시간 스트리밍 시작일: 2021. 2. 6.,솔바람,젊은 대학생들은  보이는것도 없고  듣지도 못하나?주사파 정권의  양아치 짓을왜 ? 침묵하는가 ?  젊은 학생들 보면  한심해요  자기들이  살아갈  나라를  공산독제로끌고가는데   침묵하는것은  공범이라고  볼수 있다,2개월 전,종이의 TV,1.8천,9,3
