Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,오세영,오영환 수준이 그것밖에 안되나  ㅠㅠㅠ,2주 전,JTBC News,163,29,13
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,조운,9년째 끌고 있는 이해충돌 방지법 .  180석으로 안만든다면  사람이 아니다.,2주 전,JTBC News,163,29,39
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,cat,남탁하는 저런것들이 국회의원이라니,2주 전,JTBC News,163,29,37
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,정종국,저런 애들을 왜 국회의원으로 뽑은거여 ㅜㅜ,2주 전,JTBC News,163,29,25
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,곽태희,국회의원  뺏지  달고  살아보니   뺏지  에   빠져서  다  잃어 버렸네.,2주 전,JTBC News,163,29,9
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,오덕현,우었을 실망했는지 소연씨 정신차려,2주 전,JTBC News,163,29,12
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,빈길,"성별을 떠나서, 죄를 지은 인간은 엄중하게 처벌을 받았으면 좋겠다...불리할 때 성별로 이용하는 방법은 치사함...",2주 전,JTBC News,163,29,22
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,안우영,초선오인 수박이구나 ㅋㅋ,2주 전,JTBC News,163,29,21
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,정창진,"여든야든 자멸의 길로 가고있구나... 인정할 일은 인정하고, 반성할 일은 진심으로 반성하자.",2주 전,JTBC News,163,29,16
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,James P,역사는 반복된다더니 요즘도 철새 정치인들이 많네,2주 전,JTBC News,163,29,9
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,막가즈아,엑스맨들,2주 전,JTBC News,163,29,6
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,막가즈아,근데 이제와서 왜 지ral,2주 전,JTBC News,163,29,6
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,천 개의 바람,"이소영,오영환 실망이다",2주 전,JTBC News,163,29,16
"[뉴스룸 모아보기] 2030 초선이 내놓은 '참패 진단'에…""탈당하라"" 반발 / JTBC News",2021. 4. 9.,김영숙,국의 목소리는 안중에도 없쓰니까 말로만 하면 아니한말 못 하너니,2주 전,JTBC News,163,29,11
