Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,XD,페미얘기는 죽어도 안함,2주 전,JTBC News,526,79,217
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,송윤수,젠더 이야기는 이악물고 빼버렸네 가장 큰 주제인데 ㅋㅋㅋ,2주 전(수정됨),JTBC News,526,79,735
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,재앙연구소,20대 남녀 투표 차이가 가장 1번으로 보이는 특징인데 이 악물고 언급 안하노ㅋㅋ,2주 전,JTBC News,526,79,96
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,Restricted Freedom,오세훈이 반페미 노선 안탔으면 20대가 저렇게 지지 안했을듯 ㅋㅋ 근데 그얘기는 역시 1도없네 ㅋㅋㅋ,2주 전,JTBC News,526,79,114
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,김성훈,20남자가 변순데 왜 페미얘기가 없냐,2주 전(수정됨),JTBC News,526,79,555
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,dd오라랑,잰더갈등은 진짜 절대 얘기 안하네 ㅋㅋㅋㅋㅋ 20대 남녀 투표 차이 보면 바로 답나오는거 아님?   왜 가장 큰 이유를 빼버리고 곁다리만 오지게 짚고있는거지 ㅋㅋㅋㅋㅋㅋㅋ,1주 전,JTBC News,526,79,191
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,wiiiwii wiwiwiii,"페미, 여성주의에 대한 얘기 절대 밖으로 안내는거봐ㅋㅋㅋㅋㅋ",2주 전,JTBC News,526,79,80
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,조쿨바,lh도 문젠데 그걸 처리하는 수준이 정말 한심함 국무총리라는 자가 나와서 결국 lh 혁신안 말할 때 이미 선거는 끝났음.,2주 전,JTBC News,526,79,177
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,마린보이,우리20대 30대 남성청년들은 보수든 진보 이딴거 필요없다고생각한다..  나라를 위해 일해줄 사람을 뽑고싶을뿐!!투표하면서 찝찝했지만 청년과 나라를 위해 일해주시길,2주 전,JTBC News,526,79,141
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,쀼,그와중에 틀니들 20대 코스프레 하면서 오세훈 까는 댓 싸는거 왜캐 웃기냐 씹ㅋㅋㅋㅋㅋㅋㅋ,2주 전,JTBC News,526,79,250
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,7 Forece,최저임금 폭등 -> 일자리감소집값 폭등 -> 청년의 절규세금 인상 -> 자포자기,2주 전,JTBC News,526,79,209
"[뉴스룸 모아보기] 촛불 들었던 2030…표심으로 보여준 '분노', 왜 / JTBC News",2021. 4. 8.,J.H Randy,ㅋㅋㅋㅋ 180에선 20대 투표권 뺐자는데? 그게 대책이야? ㅋㅋㅋㅋㅋㅋ,2주 전,JTBC News,526,79,201
