Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,상식이통하는나라,오영환 등 초선 뭐라 씨부리는건가! 조국이 왜 나오는지 갑자기     그사태때 니들은 뭘 했고 언론개혁등  법처리 하지도 않은것들이!,2주 전,OhmynewsTV,좋아요,싫어요,51
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,아인쭌맘,"헐.. 장경태, 오영환, 이소영까지.. 다시봤다. 그 수준인걸.",2주 전,OhmynewsTV,좋아요,싫어요,39
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,Y Sol,이낙연 이하 지도부는 석고대죄하라!!!,2주 전,OhmynewsTV,좋아요,싫어요,49
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,Y Sol,민주당 니들 뭐냐 지금???,2주 전,OhmynewsTV,좋아요,싫어요,72
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,최정식,대선 1년도 않남으니 이제 슬슬 본색을 들어내는구나?니들 뒤에는 분명히 수박들이 있을것이라는 강한의구심이든다.도데체 누구냐? 시킨수박이.,2주 전(수정됨),OhmynewsTV,좋아요,싫어요,75
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,호호맘,조국 탓으로 돌리면 부산할매도 돌아선다,2주 전,OhmynewsTV,좋아요,싫어요,67
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,강지영,정의당 류호정이 생각나네...여기서  조국장관이 왜 나와,2주 전,OhmynewsTV,좋아요,싫어요,84
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,rok ch,초선이 쟁점을 못집고 이러고 있으니 개혁이 안되지,2주 전,OhmynewsTV,좋아요,싫어요,44
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,john kim,정신 못 차리는.. 초선들..좀 짤라라..,2주 전,OhmynewsTV,좋아요,싫어요,55
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,안졍란,"그자리에 선 너희 하나 하나를 기억 할꺼야,  너희의 배설하는 말도 ...차라리 나서지 발지, 신념없는 말망아지들",2주 전,OhmynewsTV,좋아요,싫어요,53
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,Jenny Shim,와 얘들 진짜 짜증난다,2주 전,OhmynewsTV,좋아요,싫어요,46
"민주당 2030 초선 의원 ""보궐선거 참패는 착각과 오판... '조국사태' 분명하게 반성해야""",2021. 4. 8.,꽃누나,오영환 이건 아니다,2주 전,OhmynewsTV,좋아요,싫어요,56
