Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[밀착취재] 더불어민주당 박영선 후보 2030선거대책위원회 출범식,실시간 스트리밍 시작일: 2021. 3. 22.,박냉주,"""서울의 소리"" 최고!감사합니다^-^",1개월 전,서울의소리 Voice of Seoul,936,15,19
[밀착취재] 더불어민주당 박영선 후보 2030선거대책위원회 출범식,실시간 스트리밍 시작일: 2021. 3. 22.,Sunny Park,박영선 서울시장 가즈아‼️💙💙,1개월 전,서울의소리 Voice of Seoul,936,15,9
[밀착취재] 더불어민주당 박영선 후보 2030선거대책위원회 출범식,실시간 스트리밍 시작일: 2021. 3. 22.,인생정치같네,박범계장관님이 한명숙 모해위증사건 검사감찰 시민공개한다고 하니 이번기회에 시민들이 알게해야 됩니다.여러 일반시민단체와 언론기자와 종교계 학회 등 참여시켜야 됩니다.전국민의 모해위증사건 감찰결과 전국참여운동을 합시다.유튜브 방송인이 나서서 국민청원을 올려서 전국민에게 방송으로 알립시다.이보다 더 좋은 결과가 어디있읍니까? 꼭 방송인들이 힘을 모아주세요..,1개월 전,서울의소리 Voice of Seoul,936,15,9
[밀착취재] 더불어민주당 박영선 후보 2030선거대책위원회 출범식,실시간 스트리밍 시작일: 2021. 3. 22.,불사조,행동으로실천하는시장님되어주셔요 노력에댓가는🧧행복입니다 👍 🙏 밤낮으로기원합니다,1개월 전,서울의소리 Voice of Seoul,936,15,7
[밀착취재] 더불어민주당 박영선 후보 2030선거대책위원회 출범식,실시간 스트리밍 시작일: 2021. 3. 22.,icandoit jsw,박영선후보님~시장으로~민주당파이팅!서울의소리 초심님 기자분들 수고하십니다^^감사합니다~사전투표~투표로 응징합시다!,1개월 전(수정됨),서울의소리 Voice of Seoul,936,15,16
[밀착취재] 더불어민주당 박영선 후보 2030선거대책위원회 출범식,실시간 스트리밍 시작일: 2021. 3. 22.,이안나,박 영선 홧 팅 ....♡♡♡서울시장 가자 ...♡♡♡응원합니다 ...♡♡♡♡사랑 합니다 ...♡♡♡♡,1개월 전,서울의소리 Voice of Seoul,936,15,6
[밀착취재] 더불어민주당 박영선 후보 2030선거대책위원회 출범식,실시간 스트리밍 시작일: 2021. 3. 22.,채널설명,응원합니다,1개월 전,서울의소리 Voice of Seoul,936,15,5
[밀착취재] 더불어민주당 박영선 후보 2030선거대책위원회 출범식,실시간 스트리밍 시작일: 2021. 3. 22.,진백골,부동산 투기꾼 비리 종합세트 5세발 입니다 크크 크크 겜도 안되는게 나와서 지랄염병을 하고 있는데 70대 어른들이 정말 싫어 하네요,1개월 전,서울의소리 Voice of Seoul,936,15,11
[밀착취재] 더불어민주당 박영선 후보 2030선거대책위원회 출범식,실시간 스트리밍 시작일: 2021. 3. 22.,배용한,국민짐  비리종합세트 각종비리의 집합체 들  오세훈 박형준  탈탈 털어 주자,1개월 전,서울의소리 Voice of Seoul,936,15,9
[밀착취재] 더불어민주당 박영선 후보 2030선거대책위원회 출범식,실시간 스트리밍 시작일: 2021. 3. 22.,자스민박,서울시장 박영선  부산시장 김영춘 갑시다 화이팅  ~^^,1개월 전,서울의소리 Voice of Seoul,936,15,5
