Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[박정호의 핫스팟] '4.7 재보선 참패 민주당 2030 의원 입장문 발표' / '성찰과 혁신' 민주당 비대위회의 / '민주당 패배 원인과 대책-손병휘 (2021.4.9 오전),실시간 스트리밍 시작일: 2021. 4. 8.,급진2호,내가 화났는데 왜 화났는지 이해를 못하고 저렇게 헛다리 짚으면서 저 혼자 사죄쇼 하는 남친 보는 느낌...,2주 전,OhmynewsTV,좋아요,싫어요,9
[박정호의 핫스팟] '4.7 재보선 참패 민주당 2030 의원 입장문 발표' / '성찰과 혁신' 민주당 비대위회의 / '민주당 패배 원인과 대책-손병휘 (2021.4.9 오전),실시간 스트리밍 시작일: 2021. 4. 8.,코카콜벳cccb01 닷컴,소망하시눈 일 모두 이루시길 기원합니다  코카콜벳  진심으로 인사합니다,1주 전,OhmynewsTV,좋아요,싫어요,0
[박정호의 핫스팟] '4.7 재보선 참패 민주당 2030 의원 입장문 발표' / '성찰과 혁신' 민주당 비대위회의 / '민주당 패배 원인과 대책-손병휘 (2021.4.9 오전),실시간 스트리밍 시작일: 2021. 4. 8.,타비,탈당하고 열민당 간 날 칭찬해❤️,2주 전,OhmynewsTV,좋아요,싫어요,0
[박정호의 핫스팟] '4.7 재보선 참패 민주당 2030 의원 입장문 발표' / '성찰과 혁신' 민주당 비대위회의 / '민주당 패배 원인과 대책-손병휘 (2021.4.9 오전),실시간 스트리밍 시작일: 2021. 4. 8.,송목련,무서워서 숨은 애들 대신에 나와서  화살이며 총알이며 다 맞아가면서 일 했더니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그동안 어디에 있었는지 누군지도 모르는 애들이 나와서 반성? 죄송?  사람이면 양심이 좀 있자 제발,2주 전,OhmynewsTV,좋아요,싫어요,0
[박정호의 핫스팟] '4.7 재보선 참패 민주당 2030 의원 입장문 발표' / '성찰과 혁신' 민주당 비대위회의 / '민주당 패배 원인과 대책-손병휘 (2021.4.9 오전),실시간 스트리밍 시작일: 2021. 4. 8.,Suhyun Kim,"다 집에가라.... 아직도 너네 목소리 아니고, 위에 다선들 목소리네...",2주 전,OhmynewsTV,좋아요,싫어요,2
[박정호의 핫스팟] '4.7 재보선 참패 민주당 2030 의원 입장문 발표' / '성찰과 혁신' 민주당 비대위회의 / '민주당 패배 원인과 대책-손병휘 (2021.4.9 오전),실시간 스트리밍 시작일: 2021. 4. 8.,superbnumber,진짜 대환장쇼로군.뭘 잘못했는지 감도 못잡고 있네,2주 전,OhmynewsTV,좋아요,싫어요,3
[박정호의 핫스팟] '4.7 재보선 참패 민주당 2030 의원 입장문 발표' / '성찰과 혁신' 민주당 비대위회의 / '민주당 패배 원인과 대책-손병휘 (2021.4.9 오전),실시간 스트리밍 시작일: 2021. 4. 8.,Ignition!,정신 못차렸네 ㅋㅋㅋ 모를리가 없잖아? 추해 ㅋㅋㅋ,2주 전,OhmynewsTV,좋아요,싫어요,0
[박정호의 핫스팟] '4.7 재보선 참패 민주당 2030 의원 입장문 발표' / '성찰과 혁신' 민주당 비대위회의 / '민주당 패배 원인과 대책-손병휘 (2021.4.9 오전),실시간 스트리밍 시작일: 2021. 4. 8.,닉네임없음,1:14:12 ㅋ 조국때매 국민이 분노했데... 저거 국힘당 국회의원이야?,2주 전(수정됨),OhmynewsTV,좋아요,싫어요,6
[박정호의 핫스팟] '4.7 재보선 참패 민주당 2030 의원 입장문 발표' / '성찰과 혁신' 민주당 비대위회의 / '민주당 패배 원인과 대책-손병휘 (2021.4.9 오전),실시간 스트리밍 시작일: 2021. 4. 8.,닉네임없음,"1:13:50 오영환 ? 민주당이 무능해서 욕하는데, 오만과독선을 반성한다고?? 앞으로 더 아무것도 안하겠다는 말이야??",2주 전(수정됨),OhmynewsTV,좋아요,싫어요,5
[박정호의 핫스팟] '4.7 재보선 참패 민주당 2030 의원 입장문 발표' / '성찰과 혁신' 민주당 비대위회의 / '민주당 패배 원인과 대책-손병휘 (2021.4.9 오전),실시간 스트리밍 시작일: 2021. 4. 8.,블루스드록빠,쇼쇼쇼,2주 전,OhmynewsTV,좋아요,싫어요,1
