Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,종이의 TV,차량 행진도 앞장 서는 센언니 에게 응원 댓글 그리고 좋아요 부탁 해요!!,9개월 전,종이의 TV,1.1천,5,75
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,소시민A,동감 합니다 역사를 잊은 민족에겐 미래가 없다는데 자칭 진보라는 작자가 역사에 대해  더  몰라요 저들은 주적 북한을 지우고 안보 체계를 무너트리라고 하니까요 사회주의 공산주의 제국 주의에 빠진 전체주의 정권 은 진짜 사라져야 합니다.,9개월 전(수정됨),종이의 TV,1.1천,5,49
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,Soli Deo 솔리데오,와우~~  미인이신데다가 공부를 정말 제대로 많이 하셨네요.   국제 정치부터 좌빨들의 본질까지 확~~ 꿰뚫어 버린 시원한 열변 감동입니다.  국민 한 사람 한사람이 깨어나서 바른 목소리를 내야 한다는데 백프로 동감합니다,9개월 전(수정됨),종이의 TV,1.1천,5,36
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,gugwon Lee,장년들도 청년들이 앞장서서 큰소리치니 생각이 아주 많이 바꿨어요~ 힘내요! 그리고 힘차게 응원합니다. 청년 화이팅!! 모두 나오라~ 주권을 강탈한 인간덜을 모조리 박살냅시다!!!!,9개월 전,종이의 TV,1.1천,5,52
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,Spero Spera,차량위에서 구호선창하시는 모습이 얼마나 아름다웠는지 모릅니다. 아름다운 똑똑한 우리의 여전사~쎈언니! 화이팅입니다.우리가 이긴다~^^,9개월 전(수정됨),종이의 TV,1.1천,5,40
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,에나가,김현진청년 멤버네요언제봐도 씩씩하고 당당해서 좋아요응원합니다,9개월 전,종이의 TV,1.1천,5,43
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,시사시조'한뫼,후세에게 공공정신 대신 요령만 피우도록 교육한 기성세대가 이 지경의 책임자다.,9개월 전,종이의 TV,1.1천,5,23
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,조선자,우리 젊은이 들이여. 일어나라,9개월 전,종이의 TV,1.1천,5,27
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,카카오톡강신업,주위에힘팍팍전달해주십니다ㆍ,9개월 전,종이의 TV,1.1천,5,46
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,어디로가나,"권력 세습을 위해 거짓으로 진실을 짓밟는 나라!!!  권력 세습을 위해 정의와 공정을 내세우며 국민의 주권과 자유를 유린하는 나라!!!권력 세습을 위해 법으로 포장한 세금 철퇴로 국민의 허리를 내리쳐 일어나지 못하게 하는 나라!!!법의 평등과 정의와 공정에 가치를 둔 국민은 계파와 인물을 두지말고 하나로 뭉쳐 수개표가 이루어질 때까지 끝까지 싸워 정의와 주권을 지켜냅시다!!!",9개월 전,종이의 TV,1.1천,5,19
"[블랙시위] 센언니 등장! '2030들아 공부 좀 해!!' (부정선거, 우리가 나서야 하는 이유)",최초 공개: 2020. 7. 23.,솔개,맞습니다~~응원합니다,9개월 전,종이의 TV,1.1천,5,5
