Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,빈대학교,20대는 페미이슈에 제일 민감한게 사실하지만 정치권이나 언론은 언급조차 않습니다역시 권력의 꼭대기에 있습니다감히 입에도 담을 수 없는 그 이름,1개월 전,CBS 김현정의 뉴스쇼,142,21,39
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,이은미,수고많으십니다.. 제가 날짜 보다는 요일로 살아서요.. 날짜 옆에 금요일 써주시겠습니까..  감사합니다,4주 전,CBS 김현정의 뉴스쇼,142,21,0
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,progay,오늘건 지루하네,4주 전,CBS 김현정의 뉴스쇼,142,21,2
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,Rest In Peace,누구보다 기회는 평등하고 과정은 공정하고 결과는 정의롭길 바랬던 촛불세력의 주축이 등  돌린이유는 인류애에 근거한 보편타당한 평등 공정 정의가 아닌 그들만의 평등 공정 정의였기 때문이다.,4주 전,CBS 김현정의 뉴스쇼,142,21,15
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,윤석열,사회로ㅠ나가는 길을 막아버린 공산당.누가 좋아하겟냐?편의점 알바비 좀 더 줘라 이런...정책이나 내놓는.,1개월 전,CBS 김현정의 뉴스쇼,142,21,8
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,saraty84,일단 부동산이 제일 크고.. 좀 어지간해야지 부동산 지옥을 만들어 둔 게 가장 크지.. 그리고 코로나19 있더라도 취업상황이 너무 안 좋은 데다가 이 정부가 그리 강조하던 공정과 정의가 완전히 무너져 버렸지..재난지원금 몇 푼 주면 뭘 해? 집값이 10억인데..,1개월 전,CBS 김현정의 뉴스쇼,142,21,19
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,Pk552,"경제적인것도 크게 안바랬고 정책적인것도 크게 안바랬다. 공정 평등 도덕 이 가치들만 보고 지지했는데,버닝썬 사태 보고 아 얘들은 정말 장점이 하나도 없는 위선자새끼들이구나 느꼈다",2주 전,CBS 김현정의 뉴스쇼,142,21,2
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,Mickey,공갈방송,1개월 전,CBS 김현정의 뉴스쇼,142,21,7
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,Never mind,"지금 180석 가진 민주당이 하는짓을 봐라 안돌아서게 생겼나. 다시 기득권이 되니까 국힘, 이명박근혜랑 다른게 없다는게 밝혀졌다. 민주당 극성 추종자들은 일을 제대로 하던 말던 사랑해요, 감사해요, 힘냅시다, 어차피 넌 민주당 지지자도 아니면서 민주당 욕하지마라 이러고 있고... 혼 쎄게 나야한다.자기들이 정의라는 정신나간 극진보 애들 밑에 댓글봐라. 김현정 뉴스쇼가 그냥 조사해서 결과를 발표했을 뿐인데 공갈 방송이라는 둥, 극우방송이라는 듕 개소리하는거. 정신차려라 국회의원이고 대통령이고 신이 아니다. 국민의 일꾼이지. 일을 개판으로하면서 뽑아주길 바라다니...",3주 전(수정됨),CBS 김현정의 뉴스쇼,142,21,7
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,조희숙,지금은100세시대인만큼 젤 많이 피부로 느꼈지 않았나 싶네요.시국도 시국이지만 정계  원로라고 생각해도 돼는 공직자분들!!!심하다는 생각을 하지 안했을까요.젊은학생들이 제대로 졸업을 하지못하니까요,1개월 전,CBS 김현정의 뉴스쇼,142,21,3
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,칸타빌레,색깔로 편가르기 하는 정치는 이제 없어져야 합니다. 젊은 의원이 낡은 사상으로 선거에서 무조건 이기려만 하는 행태가 정말 눈살을 찌푸리게 하는군요.,1개월 전,CBS 김현정의 뉴스쇼,142,21,4
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,가슴으로산다,"진보가 변해야 한다. 집권이후 도찐개찐 보수랑 별 다른 모습은 보이질 않고,어설픈 정책으로 우리의 이웃들을 적폐로 규정하는 홍위병의 모습만 보인다.평생을 진보라고 생각했는데... 요즘은 회의감을 느낀다.  소급적용,  적폐 ..죽창.. 피로감을 느낀다.정당투표는 항상 정의당이었는데..요즘 개판치는 모습과 야당의 모습이 안보이는것에 실망을 느낀다.서울,부산 폭망하고,바닥에서 다시 처음으로 돌아간 모습을 보여야 할듯하다.투표장을 갈까 말까 생각중이다.",4주 전(수정됨),CBS 김현정의 뉴스쇼,142,21,11
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,노다메,페미이슈는 역시 말 안하네.ㅋㅋ,4주 전,CBS 김현정의 뉴스쇼,142,21,3
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,V들꽃,몰표? 20ㆍ30대가 돌아섰다?,1개월 전,CBS 김현정의 뉴스쇼,142,21,4
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,장영익,"저는 올해 40대 대열에 합류했는데... 최근 나온 부동산 관련된 정책이 2,30대 위주의 정책이더군요. 4,50대는 본인들펀이라는 생각인지...그동안 여당측이었는데 이번엔 글쎄요.",3주 전,CBS 김현정의 뉴스쇼,142,21,3
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,Say Hello,김현미가 국힘당인줄 알았음 너무 엉망으로 해서,4주 전,CBS 김현정의 뉴스쇼,142,21,1
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,캐드존.도면제작소,"박영선,,후보   장관시절,, 재벌후원금,,,",4주 전,CBS 김현정의 뉴스쇼,142,21,2
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,해피라이프,LH 투기꾼들의 형님이 오세훈 아니신가~~~ 몸소 셀프 보상의 표본을 보여주신 분~~~,4주 전,CBS 김현정의 뉴스쇼,142,21,3
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,0m pp,2030이 정말 몰표했나요?,4주 전,CBS 김현정의 뉴스쇼,142,21,0
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,Rest In Peace,"부동산 일자리 정책의 실패 뿐만아니라 올림픽남북단일팀,인국공사태,조국사태,윤미향사태,페미사태(2030 남자는 보수적,가부장적,잠재적범죄자,기득권) 등등 도대체 뭘 보고 지지하란건지 모르겠네 한쪽이 거대권력을 가지면 어떻게 되는지 뼈저리게 느꼈음 그냥 양쪽이 반반 가지고 죽어라 싸우는게 일반국민 입장에선 낫다고 느낌 180석 먹은지가 언젠데 선거 다가오니 부랴부랴 이해충돌방지법",4주 전,CBS 김현정의 뉴스쇼,142,21,11
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,은빛 사막,"선거권도 없고,  지금 돌아가는 상황이 참 답답하네요~~~        제발 과거로 돌아가는 실수를 반복하진 않았으면 좋겠습니다...",3주 전,CBS 김현정의 뉴스쇼,142,21,1
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,SW L,"졸라 웃기네. 표받으려면 차별, 투기조장해야겠네?",4주 전,CBS 김현정의 뉴스쇼,142,21,0
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,K - Bird크낙새,"바보야, 점심 굶어가며  그돈 다섯살 훈이네 부동산 투자했는 데 그럼 어딜 가냐 ?  돌려 받아야지 ,,,",4주 전,CBS 김현정의 뉴스쇼,142,21,0
"오세훈 몰표, 2030 왜 돌아섰나",2021. 3. 25.,플랑크톤,저는 30대이고 지금껏 민주당만 찍었는데 이번에 벼락거지돼서 이젠 그냥 투표를 안 하려고요. 그렇다고 국힘은 못뽑겠으니.,4주 전,CBS 김현정의 뉴스쇼,142,21,6
