Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[오직 손병휘] '민주당 패배 원인과 대책'-[현장] 민주당 2030 의원 입장문 발표 기자회견,2021. 4. 8.,세월호 유가족방송 416 TV,오~마이~손병휘! 힘내시게요~,2주 전,OhmynewsTV,좋아요,싫어요,2
[오직 손병휘] '민주당 패배 원인과 대책'-[현장] 민주당 2030 의원 입장문 발표 기자회견,2021. 4. 8.,oksun bank,선거 분노합니다!,2주 전,OhmynewsTV,좋아요,싫어요,3
[오직 손병휘] '민주당 패배 원인과 대책'-[현장] 민주당 2030 의원 입장문 발표 기자회견,2021. 4. 8.,최갈마,제대로 봐라 이 젊은 의원 놈들아~~,2주 전,OhmynewsTV,좋아요,싫어요,2
[오직 손병휘] '민주당 패배 원인과 대책'-[현장] 민주당 2030 의원 입장문 발표 기자회견,2021. 4. 8.,정진덕,우리가 조국이다♡♡♡,2주 전,OhmynewsTV,좋아요,싫어요,1
[오직 손병휘] '민주당 패배 원인과 대책'-[현장] 민주당 2030 의원 입장문 발표 기자회견,2021. 4. 8.,행텐,민주당과 박영선 캠프의 안일한 선거준비지들이 이번에도 이길줄 알고 대책없이 준비한게 원인그리고 사전투표 승리 문자선거하는 사람들이 지켜야 할 겸손함을 버렸으니건방떠는 사람들에게 표를 주겠음?,2주 전,OhmynewsTV,좋아요,싫어요,3
[오직 손병휘] '민주당 패배 원인과 대책'-[현장] 민주당 2030 의원 입장문 발표 기자회견,2021. 4. 8.,김유경,국민이180명 이란는 국회의원을 주었는되도일를하지못한것에국민이핫가난다남은1년동에는좋은정책은가감히하며다시돌아온다,2주 전,OhmynewsTV,좋아요,싫어요,5
[오직 손병휘] '민주당 패배 원인과 대책'-[현장] 민주당 2030 의원 입장문 발표 기자회견,2021. 4. 8.,Han,중도란 없다. 사람들은 원래 생각이 이랬다 저랬다 하는 것. 민주당이 개혁과제를 거침없이 밀고 나갔다면 이꼴까지 안됐을것. 어설프게 중도운운하면서 개혁을 고삐를 느슨하게하니 검찰부터 온갖 적폐들에게 흔들이게 되는것. 과반을 훨씬 넘긴 의석을 몰아줬으면 그에 걸맞는 결과를 내야하는게 순리다.,2주 전,OhmynewsTV,좋아요,싫어요,4
[오직 손병휘] '민주당 패배 원인과 대책'-[현장] 민주당 2030 의원 입장문 발표 기자회견,2021. 4. 8.,john kim,민주당..5명 2030 의원들의 정신 상태가..한심하다.. 저들의 주장을 보니.. 민주당은 망하는게 빠르겠다..,2주 전,OhmynewsTV,좋아요,싫어요,6
[오직 손병휘] '민주당 패배 원인과 대책'-[현장] 민주당 2030 의원 입장문 발표 기자회견,2021. 4. 8.,참이룸,언플 수차례에 경고하였습니다 지금부터라도 언론개혁 하세요 반드시 필요합니다 언론개혁 👊 👊 👊 사법개혁 👊 👊 👊 검찰개혁 👊 👊 👊 더불어민주당 열린민주당 화이팅,2주 전,OhmynewsTV,좋아요,싫어요,1
[오직 손병휘] '민주당 패배 원인과 대책'-[현장] 민주당 2030 의원 입장문 발표 기자회견,2021. 4. 8.,unisaint,"문재인 대통령은 처음부터 레임덕이었습니다.문재인 대통령은 민주당 내에서 약세였기에,  정권의 기반인 민주당의 파열을 피하고, 당내 계파들과 권력 균형을 유지하려다보니, 그들에게 휘둘릴 수 밖에 없었습니다.당내 균형 유지를 위해 박지원 의원(민주당내 중진과 깊은 유대) 까지 국정원장으로 챙겨줘야할 정도였습니다. (문재인 정부의 납득이 안되는 인사조치들이 이런 이유)기득권 카르텔과 연계되어 있는 민주당내 파벌 권력에 의해서 문재인 대통령의 개혁은 저지되었던 것입니다.(이낙연 및 몇 명의 수박 수준의 문제가 아닙니다)문재인 대통령의 최초 선택의 고민은, 노무현 대통령 처럼 신당 창당을 할 것이냐? 민주당내 세력 규합을 할 것인이냐? 였을 것입니다. 그런데 박근혜 무리들과의 싸움과 탄핵정국의 이슈가 급박했기에 세력규합이 쉽지가 않아서, 고민끝에 후자를 선택했을 것이고. (정통성에 대한 국민 지지도때문에도 여의치 않았겠지요)문제는 이재명 도지사 또한 민주당으로 대통령이 된다 한들, 개혁을 할 수 있겠는가? 하는 점입니다. 윤석열을 통해서 적폐 검찰의 행태가 드러났듯이, 이낙연을 통해서 민주당의 반개혁 본색이 드러나게된 것입니다. (이번 선거를 통해 국민들이 알게되었습니다)우리나라 정당이 자체 개혁해서 변신한 정당은 없었습니다. 이념이 다른 계파가 분열해서 재조립하여 신당을 창당했을 뿐.민주당의 새변신을 기대한다는 것은 불가능을 기대한다고 봅니다.국민의 정치의식이 발전한 이쯤에서, 이제는 진정한 ""민주 진보 정당""에 대한 국민적 논의가 제기되어야 할 시기라고 봅니다",2주 전,OhmynewsTV,좋아요,싫어요,0
