Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,아칼리,취업도 어려워~ 그렇다고 고생고생해서 들어간 회사에서 월급받아가지고 집을 살 수도 없어~ 꿈도 희망도 잃은 분노나 받아라,2주 전,SBS 뉴스,296,10,153
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,짱,요즘 청년들이얼마나 똑똑한데돈 준다고 뽑나요💜,2주 전,SBS 뉴스,296,10,114
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,김영훈,"클리앙 ""10~20대 미개하다 투표권 뺏어야한다"" 레전드다 진짜",2주 전,SBS 뉴스,296,10,52
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,Mr. Hurk,언론도 다갈아엎어야함,2주 전,SBS 뉴스,296,10,70
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,hs jung,알바자리도 구하기 어렵다 더군다나 청년정책 쓰레기에 공정의 가치는 개나 줘버렸는데 뽑아줄 이유 없지,2주 전,SBS 뉴스,296,10,41
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,Kong Intent,역시 학생때 공부안하고 대모질하던 인간들이 정권잡으니까 ㄹㅇ무능의 끝을 보여줌,2주 전,SBS 뉴스,296,10,44
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,최정희,쀼린대로 거두는법 지들이 한짖을 뒤 돌아보면답이 나온다 왠만 했어야쥬 국민들은 역겨워서토가 다 나왔다는걸 민주당은 알랑가,2주 전,SBS 뉴스,296,10,64
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,Kimjaegeun kim,원전 죠x 놓고 아랍에 원전축한다는 문,2주 전,SBS 뉴스,296,10,26
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,손신자,Kbs가진정국민의방송인가의심스럽다,2주 전,SBS 뉴스,296,10,34
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,짱,서민들 나락으로💜떨어트린 정부💜그러니 국민들이💜등  돌리죠💜💜💜,2주 전,SBS 뉴스,296,10,37
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,김춘길,사필귀정,2주 전,SBS 뉴스,296,10,33
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,홍동표,"청년일자리없다,,정말굶어죽는다",2주 전,SBS 뉴스,296,10,4
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,욱이,40대도 등 많이 돌려 찌,2주 전,SBS 뉴스,296,10,4
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,J J,크게 보면 여가부 국토부,2주 전,SBS 뉴스,296,10,14
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,최규현,그거 당하고도 뽑는 놈들이 멍청한거지 ㅋㅋ,2주 전,SBS 뉴스,296,10,13
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,헐버튼,정책실패에 전국민 힘들때 지들 밥그릇은 챙기고 .... 너무 무능력했다 신도시 취소하고 세금이나 내려라 40대 50대들이 밀어줬더니 열심히 일하는 사람들 등골빼서 엄하게 돈 뿌리는거 보구선 니들한테 질렸다,2주 전,SBS 뉴스,296,10,51
"""정권에 불만 쌓인 국민들…2030 민주당에 등 돌렸다"" / SBS",2021. 4. 7.,읏추읏추,민주당 진짜 ㅋㅋㅋㅋ어떡하냐 저걸 예측못했다는것도 이상하네,2주 전,SBS 뉴스,296,10,16
