Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,천하제1공수특전여단,배종호교수님 설명이 정확하고 좋았으며 신의원님 마지막 멘트도 감동적이었고 합리적보수 모델임.두분 감사합니다🌺,2주 전(수정됨),MBCNEWS,73,10,14
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,James Dean,"노통때는 여권이 총선에 실패하고 노무현 대통령님에게 책임을 전가했는데 이번엔 180석 몰아줬더니 기득권 코스플레하다가 이렇게 됐는데 어쩔래? 이 한심한 여야 정치꾼들아, 국회의원 필요없다.",2주 전,MBCNEWS,73,10,15
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,김Pro,공정과 정의가 .. 스쳐 가는 이야기 뿐이였으니..국민들이 분노한 것이지,2주 전,MBCNEWS,73,10,10
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,Hi By,뺨때려놓고 왜삐졌냐고 물어보면 할말이 없다 우리가;;,1주 전,MBCNEWS,73,10,1
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,찌알이,만져나 국찜이나 자신들의 지지층만을 위한 정치를 합니다.중도(국민양심)가 감시해가며 응징해야합니다.,2주 전,MBCNEWS,73,10,3
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,"테스형,세상이 왜이렇게 뭐같어,有錢無罪.無錢有罪.弱肉强食",표 줘도 몸만 사리고 일을 안하는데 누가 표줄까?처럼회 외엔 일들 안하드만..,2주 전,MBCNEWS,73,10,6
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,조혜성,올쏘. 🐕 판. 정부  처음본다,2주 전,MBCNEWS,73,10,4
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,MrSelim7894,일목요연하게이번선거는 국민이 이긴선거여야를 위해 투표한게 아니고 오로지 국민을 위해 투표한 결과투표안하신분 반성하시길 바랍니다.,2주 전,MBCNEWS,73,10,5
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,찌알이,중도(국민양심)가 만져를 응징한 선거인데 국찜은 보수의 승리라고 합니다.중도(국민양심)가 만져못지않게 국찜도 경계해야하는 이유입니다.,2주 전,MBCNEWS,73,10,3
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,머라꼬,성난.민심을 더 두려워한다.,2주 전,MBCNEWS,73,10,4
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,jkjkj iok,맨날 조국수호 검찰개혁만 외치는데 뭔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ부동산이 망한이유가 다 보인다니깤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ공부를 한적이 없으니까 모르짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그시대에 학교가서 뭘 배웟겟음 저분들잌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그냥 열심히 운동만 하다가 대충 대학졸업한거짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ성적표 까봐야되 저인간들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2주 전,MBCNEWS,73,10,3
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,책BK,전반적인 국정실패가 팩트야..,2주 전,MBCNEWS,73,10,6
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,Bong yi,유승민 이 대세 끼가 ㅋㅋ 말도안돼,2주 전,MBCNEWS,73,10,0
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,bsbsbs bbb,천날만날 데모만 하던새끼들이 멀안다고깝쳐ㅋㅋ,2주 전,MBCNEWS,73,10,4
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,까마,야당의 참패다. 이로써 사면망언을 한 것들은.. 다 쓰레기로 분류하는 것을 알라.,2주 전,MBCNEWS,73,10,11
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,ha ha,솔직히 80년 90년대생들이 무슨 남녀차별이있다고 각종 여성우대정책을 펴는지 이해가 안가고 오히려 그로인해서 20~30대 남성이 역차별을 받고있고 촛불정신을 외치면서 인국공 lh땅투기를 봤을때  촛불정신의가치인 공정 공평 정의롭지도 못했다.,2주 전,MBCNEWS,73,10,2
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,好lun,지는게 당연한거 아니냐 ? 주절주절 떠드냐,2주 전,MBCNEWS,73,10,5
[정치 맞수다] 4·7 재보궐 선거 여당 참패…야당 압승 (2021.04.08/뉴스외전/MBC),2021. 4. 7.,lee포청천,민주당은 반성하지 않았다그들은  국민을 눈속임한 파령치한 정치 집단일 뿐이다.단지 아직 때묻지 않은 초선 의원들 빼고...이런 민주당의 위선적 행동들을 이나라국민들이 두번다시 속아서는 안될것이다,2주 전,MBCNEWS,73,10,0
