Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,김경숙,목소리에 힘이실려있읍니다 꼭당선될것입니다,1개월 전,팩트TV NEWS,326,2,4
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,I N,찍어 찍어 영선이가 무슨 잘못이야 찍어 찍어 ㅋㅋ어휴 재밌다😍😍😍😍,1개월 전,팩트TV NEWS,326,2,9
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,정혜영,화이팅~~,1개월 전,팩트TV NEWS,326,2,4
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,유영숙,서울시장 박영선 갑니다,1개월 전,팩트TV NEWS,326,2,5
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,오명희,서울을  박영선 시장에게  믿고 맡기다,1개월 전,팩트TV NEWS,326,2,5
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,In my Opinion,다께시마 팍 화이팅입니다 ❤️❤️❤️렉서스 팍 화이또❤️❤️,1개월 전,팩트TV NEWS,326,2,1
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,유효상,추행선거 800억 억억,1개월 전,팩트TV NEWS,326,2,4
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,김한솔,끅 승리하소서그래야 대한민국이  잘 돌아가리라  미드습니다.꼭 승리하소서~,1개월 전,팩트TV NEWS,326,2,3
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,김세훈,당선되면 국회의사당 다른 지방으로 보내주세요 ㅎㅎ 가능 하시면 ㅋ,1개월 전,팩트TV NEWS,326,2,1
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,정현,화이팅입니다~~,1개월 전,팩트TV NEWS,326,2,5
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,V Y,화이팅하세요,1개월 전,팩트TV NEWS,326,2,5
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,우슬초,민주당 열린당 화이팅입니다. 박영선 서울시장 갑시다.,1개월 전,팩트TV NEWS,326,2,12
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,김정임,똑순이박영선민주당후보님화이팅,1개월 전,팩트TV NEWS,326,2,7
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,조준순,박영선서울시장   화이팅입니다꼭당선되십시요,1개월 전,팩트TV NEWS,326,2,5
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,앵초00,박영선 당선 확실하다 응원합니다화이팅입니다최고 잘한다 ♥,1개월 전,팩트TV NEWS,326,2,6
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,심사평,대통령까지 탄핵당한 국짐당!!  이제는 죄를 뉘우치고 깔끔하고 지적인  박영선후보를 도와주리라 믿씀니다~~,1개월 전,팩트TV NEWS,326,2,4
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,이승덕,서울찍고 청와대 찍고 나라살리자,1개월 전,팩트TV NEWS,326,2,2
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,風月 Moon of Wind,"국민은 알아야 한다 !!! 어느 정치세력이 땅, 아파트 투기에 법을 비틀고, 불법을 저 질렀지 똑똑하게 기억 해야 한다 !!!이런세력에게 다시 권력을 쥐어주면 어떻게 되겠는가 !!!단죄를 해서 다시는 권력에 접근 못하게 해야 한다 !!! ---> 국짐당 부동산 이득 : 박형준 40억, 오세훈 36억, 주호영 23억 을 기억 !!!",1개월 전,팩트TV NEWS,326,2,0
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,영,똥줄타겠다  자기PR을해야지  남의지지률을 자꾸올려주네,1개월 전,팩트TV NEWS,326,2,0
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,제기럴모터스,엄중이 때문에 표떨어 집니다 치워버리십시요,1개월 전,팩트TV NEWS,326,2,2
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,안양울프,개검의충견 개검부역자 청와대 박범계 🐕 들 선거폭망해라 한명숙사건을 덮다니 상식도 없는 쌩양아치,1개월 전,팩트TV NEWS,326,2,0
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,truth will set you free Faith,결국 우리들의 투표로 가장 큰 피해를 받는계층은 아이들이겠죠... 이번 보궐선거와 내년 대선까지 지면... 우리나라는 미얀마 사태가 나고... 국짐당 벌레들은 북한 도발을 할테고... 북한도 빡쳐서 미사일 실험 다시할테고... 그러면 미국과 일본이 숟가락 얹어서 전쟁하자고 난리를 칠텐데... 그게 아이들이 잘못한 것은 1도 없죠... 우리 부모세대와 우리세대가 투표를 했으니까요... ㅠㅠㅠ4.7일 꼭 투표합시다~ 아이들을 대신해서 하는 투표입니다.  아이들을 생각하며 누가 아이들의 미래를 책임지기에 그나마 나은 사람인지 생각 판단하며 투표합시다~!!!,1개월 전,팩트TV NEWS,326,2,0
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,이승덕,박영선후보님 당신을 믿습니다 투기부자당 투기의혹시장후보를 꼭 이겨줘야 서울시민도 더불어민주당도 살게됨니다,1개월 전,팩트TV NEWS,326,2,3
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,장수지,제발 열심히 뛰여주세요민주당 후보가누군지도 모르는분들 많아요,1개월 전,팩트TV NEWS,326,2,6
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,김훈,민주당이 부족해서 미워도 박영선을 뽑자~  전광훈과 비슷한급인 오세훈이가 시장되면 어떤 현실이 닥칠지 상상이 되지않나?,1개월 전,팩트TV NEWS,326,2,0
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,김한솔,이낙연  씨는 사면 발언만 안했어도 그래도 지지율  이그렇게 떨이지지 않앟을것인데.그런데  이낙연 씨는넘 박진감 이 없다밀어부치는 힘이 약하다앞으로 민주당  대선이걱정된다.짜장  에게  돈통 맡길수는 없고  할수없지만~~민주당 박영선  님  시장 꼭 당선되길  기원한다.,1개월 전(수정됨),팩트TV NEWS,326,2,1
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,편창길,운동권집단이 옛날에    사기꾼 내세워  이회창 이긴  경험으로 또 사기꾼과 합작할 가능성이 농후하다  지금 열세니 관권선거나 부정선거도 불사할 태세다,1개월 전,팩트TV NEWS,326,2,0
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,오경자,부끄운줄좀알아라 쪽팔린다 성추행당이 시장또하겠다고 법을 바꿔서라도해  아마도 야당이 성추행했냐 뻔뻔하고 무식하고 나라망신다,1개월 전(수정됨),팩트TV NEWS,326,2,0
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,김만수,2030중 남성은 민주당 지지안해준다. 페미나 지지하는 당은 답이 없다. 그런것을 인지해야 할텐데 정치하는 놈들은 그런거 하나도 모르제? 그저 이용하고싶을 생각뿐이지.,1개월 전,팩트TV NEWS,326,2,0
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,IN KYOUNG,💙더불당 이낙연 선대위위원장님👍신복지 💙정책2030 응원지지합니다👍 💙청년들희망이보입니다👍 서울시장 💙박영선후보 몰빵 합시다👏👏👏,1개월 전,팩트TV NEWS,326,2,4
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,도마다리 아래 버린놈,민주당   말아 먹은 진중  진중 신중 이낙연 저런사람 들 안보이게 해야 희망 있다,1개월 전,팩트TV NEWS,326,2,1
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,강민형,박영선 시장후보님 화이팅 하십시오. 이낙연 대선 후보님도 반갑습니다. 민주당 힘내시고 꼭. 박영선님 시장님되시고  문재인 대통령후임 으로 꼭 이낙연 후보님이 대통령을 이어 받으시기를두손모아 기도 합니다..,1개월 전(수정됨),팩트TV NEWS,326,2,2
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,도마다리 아래 버린놈,개 대표 저런 사람 안보여야  이긴다ㅡ민주당  말아먹은놈들  진중진중 개소리,1개월 전,팩트TV NEWS,326,2,1
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,전규호,걱정말아요 박영선후보자님          이번선거는승리나다름없네요 제2이명박이는안되지요        5세훈이가또서울학생들        밥그릇뺏으려고출마하는군아   서울학부모님들5세훈이는절대안됩니다 사기꾼명박이후세 가되면또   서울시가어떻게되겠어요          사기꾼집단한테 서울시을맏겨놓을수없지요,1개월 전,팩트TV NEWS,326,2,1
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,코베인커트,홧팅~박영선~더불어 민주당♡이깁시다~,1개월 전,팩트TV NEWS,326,2,1
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,심재두,민주당   없어져야  투기 사라  질것  같아요,1개월 전,팩트TV NEWS,326,2,1
[팩트TV 풀영상] (3.22) 박영선 서울시장 후보 2030선거대책위원회 출범식,2021. 3. 23.,나샌님여어,박영선은안된다.오세훈이가최고여,1개월 전,팩트TV NEWS,326,2,0
