ngram,NEG,NEUT,POS
가난,1,0,0
가난뱅이,1,0,0
가난살이,1,0,0
가난살이하다,1,0,0
가난설음,1,0,0
가난에,1,0,0
쪼들려서,1,0,0
가난하게,1,0,0
가난하고,1,0,0
어렵다,1,0,0
천한,1,0,0
가난하다,1,0,0
가난하여,1,0,0
가난한,1,0,0
데다가,1,0,0
사람을,1,0,0
가난히,1,0,0
가년스럽다,1,0,0
가녕스럽다,1,0,0
가누지,1,0,0
못하고,1,0,0
못하다,1,0,0
못할,1,0,0
정도로,1,0,0
못함,1,0,0
가눌,1,0,0
수,1,0,0
없게,1,0,0
없을,1,0,0
없이,1,0,0
가당찮다,1,0,0
가당찮이,1,0,0
가두거나,1,0,0
해치거나,1,0,0
가망이,1,0,0
가슴,1,0,0
아파하다,1,0,0
아파함,1,0,0
아프게,1,0,0
아프고,1,0,0
아프다,1,0,0
가슴속에,1,0,0
근심이나,1,0,0
가슴앓이,1,0,0
가슴앓이하다,1,0,0
가슴이,1,0,0
갑갑할,1,0,0
괴롭거나,1,0,0
그득한,1,0,0
답답하고,1,0,0
답답하다,1,0,0
답답하며,1,0,0
아픈,1,0,0
울렁거리는,1,0,0
울렁거리다,1,0,0
찢어질,1,0,0
가엾고,1,0,0
불쌍하다,1,0,0
불쌍하여,1,0,0
불쌍한,1,0,0
불쌍함,1,0,0
애처롭다,1,0,0
가음,1,0,0
가짜,1,0,0
가치,1,0,0
없는,1,0,0
가치가,1,0,0
없다,1,0,0
가치없는,1,0,0
가혹하게,1,0,0
착취하여,1,0,0
간,1,0,0
장애,1,0,0
간사한,1,0,0
짓을,1,0,0
감금하여,1,0,0
감정의,1,0,0
불화,1,0,0
강간죄,1,0,0
강개무량,1,0,0
강개무량하다,1,0,0
강제로,1,0,0
누르다,1,0,0
누름,1,0,0
빼앗아,1,0,0
강제적으로,1,0,0
강탈,1,0,0
강탈하다,1,0,0
강한,1,0,0
비판이나,1,0,0
개짓하다,1,0,0
거만스럽게,1,0,0
거만을,1,0,0
떠는,1,0,0
떨다,1,0,0
거만하게,1,0,0
행동하는,1,0,0
행동하다,1,0,0
거만하고,1,0,0
거만하다,1,0,0
거만한,1,0,0
태도로,1,0,0
거부감,1,0,0
거부하거나,1,0,0
거북스럽게,1,0,0
저는,1,0,0
절다,1,0,0
거북하거나,1,0,0
괴로움,1,0,0
괴롭다,1,0,0
더럽고,1,0,0
거북하게,1,0,0
거북하고,1,0,0
불편한,1,0,0
주체스럽게,1,0,0
거북하다,1,0,0
거북한,1,0,0
모양,1,0,0
상태로,1,0,0
소리가,1,0,0
거북할,1,0,0
만큼,1,0,0
거슬려,1,0,0
불쾌하다,1,0,0
거절하거나,1,0,0
싫다는,1,0,0
거절하다,1,0,0
거짓,1,0,0
거짓말,1,0,0
거친,1,0,0
데가,1,0,0
말로,1,0,0
목소리로,1,0,0
성질이나,1,0,0
거칠거나,1,0,0
사납게,1,0,0
거칠게,1,0,0
나는,1,0,0
말다툼하다,1,0,0
말함,1,0,0
몰아쉬는,1,0,0
몰아쉬다,1,0,0
쉬는,1,0,0
울려,1,0,0
일다,1,0,0
잇따라,1,0,0
거칠고,1,0,0
가쁘게,1,0,0
격한,1,0,0
깔끄럽게,1,0,0
껄끄럽게,1,0,0
나쁘다,1,0,0
무뚝뚝하다,1,0,0
사나우며,1,0,0
세차다,1,0,0
